,,,,,,,,"2009",,,,,"2010",,,,
"קוד סעיף","שם סעיף","קוד תחום","שם תחום","קוד תוכנית","שם תוכנית","קוד תקנה","שם תקנה","תקציב מקורי - הוצאות נטו","תקציב מקורי - הוצאה מותנית בהכנסה","תקציב מקורי - הכנסה מיועדת","תקציב מקורי - הרשאה להתחייב","תקציב מקורי - שיא כא","תקציב מקורי - הוצאות נטו","תקציב מקורי - הוצאה מותנית בהכנסה","תקציב מקורי - הכנסה מיועדת","תקציב מקורי - הרשאה להתחייב","תקציב מקורי - שיא כא"
,,"29","מיסי הוצאה-העמקת הגביה","2901","מיסי הוצאה-העמקת הגביה","290101","מיסי הוצאה-העמקת הגביה","0","0","0","0","0","0","0","0","0","0"
,,"34","ריבית במט""ח","3401","ריבית במט""ח","340101","ריבית במט""ח","149700","0","0","0","0","89900","0","0","0","0"
,,,,"3402","ריבית בגין כספי ערבויות","340201","ריבית בגין כספי ערבויות","0","0","0","0","0","0","0","0","0","0"
,,,,"3403","ריבית בגין עסקאות במט""ח","340301","ריבית בגין עסקאות במט""ח","0","0","0","0","0","0","0","0","0","0"
,,"35","גביית ריבית","3501","גביית ריבית","350101","גביית ריבית","2296100","0","0","0","0","2209820","0","0","0","0"
,,,,"3502","גביית ריבית מח' הגבייה","350201","גביית ריבית בגין","0","0","0","0","0",,,,,
,,,,,,,"גביית ריבית ממשכנתאות",,,,,,"0","0","0","0","0"
,,,,,,"350202","גביית הצמדה לריבית","0","0","0","0","0",,,,,
,,,,,,,"גביית הצמדה לרבית -",,,,,,"0","0","0","0","0"
,,,,,,"350203","גביית ריבית- מח' הגבייה","0","0","0","0","0","0","0","0","0","0"
,,,,,,"350204","גביית הצמדה לריבית","0","0","0","0","0","0","0","0","0","0"
,,,,,,"350205","הוצאות עמלה לבנקים","0","0","0","0","0","0","0","0","0","0"
,,,,"3503","תקבולי רבית מגורמים שונ","350301","תקבולי ריבית שונים","0","0","0","0","0","0","0","0","0","0"
,,,,,,"350302","גביית ריבית על שטרי הון","0","0","0","0","0","0","0","0","0","0"
,,"39","ריווחי ב""י שמומשו","3901","ריווחי ב""י שמומשו","390101","ריווחי ב""י שמומשו","0","0","0","0","0","0","0","0","0","0"
,,"40","ריווחי בנק ישראל","4001","ריווחי בנק ישראל","400101","ריווחי בנק ישראל","0","0","0","0","0","0","0","0","0","0"
,,"41","ריבית מבנק ישראל","4101","ריבית מבנק ישראל","410101","ריבית מבנק ישראל","0","0","0","0","0","0","0","0","0","0"
,,"42","תמלוגים ממפעלים עסקיים","4201","תמלוגים ממפעלים עסקיים","420101","תמלוגים ממפעלים עסקיים","340198","0","0","0","0","241050","0","0","0","0"
,,"43","תמלוגים מאוצרות טבע","4301","תמלוגים מאוצרות טבע","430101","תמלוגים מאוצרות טבע","188000","0","0","0","0","188000","0","0","0","0"
,,"44","תמלוגים מחברות ממשלתיות","4401","תמלוגים מחברות ממשלתיות","440101","תמלוגים מחברות ממשלתיות","64000","0","0","0","0","47880","0","0","0","0"
,,,,,,"440102","תמלוגים מבזק","0","0","0","0","0","0","0","0","0","0"
,,,,,,"440103","תמלוגים מרשות שדות התעו","0","0","0","0","0","0","0","0","0","0"
,,,,,,"440104","תמלוגים מרשות הנמלים","0","0","0","0","0","0","0","0","0","0"
,,,,,,"440105","תמלוגים מרשות הדואר","0","0","0","0","0","0","0","0","0","0"
,,,,,,"440106","תמלוגים מהחברה למדליות","0","0","0","0","0","0","0","0","0","0"
,,"45","דיוידנדים מחברות ממשלתי","4501","דוידנדים מחברות ממשלתיו","450101","דוידנדים מחברות ממשלתיו","541680","0","0","0","0","284000","0","0","0","0"
,,,,"4502","דיוידנדים מחברות","450201","דיוידנדים מחברות שונות","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450202","דיוידנדים מבזק","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450203","דיוידנדים מחברת חשמל","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450204","דיוידנדים מבתי זיקוק","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450205","דיוידנדים משרותי נפט","0","0","0","0","0","0","0","0","0","0"
,,,,"4503","דיוידנדים מבנקים שבהסדר","450301","דיוידנדים מבנק לאומי","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450302","דיוידנדים מבנק הפועלים","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450303","דיוידנדים מבנק איגוד","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450304","דיוידנדים מבנק המזרחי","0","0","0","0","0","0","0","0","0","0"
,,,,,,"450305","דיוידנדים מבנק דיסקונט","0","0","0","0","0","0","0","0","0","0"
,,"46","החזר ע""ח שנים קודמות","4601","החזר ע""ח שנים קודמות","460101","החזר ע""ח שנים קודמות","100000","0","0","0","0","100000","0","0","0","0"
,,"47","הכנסות שונות","4701","הכנסות שונות","470101","הכנסות שונות","1260000","0","0","0","0","760000","0","0","0","0"
,,,,,,"470102","רכישת זכויות גמלה %18.5","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470103","גימלה %2","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470104","צרוף שרות קודם","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470105","החרמות","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470106","הכנסות מהפרשי שער","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470107","בונוס ""מתמיד"" מאל-על","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470108","תמלוגים מסלקום ופלאפון","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470109","הכנסות מהחטיבה להתישבות","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470110","הכנסות מעמלות סיכון","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470111","הכנסות מהרשות השניה","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470112","הכנ' שונות ממכירת חברות","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470113","הכנסות מתרומות","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470114","החזר תשלומי יתר מקופ""ח","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470115","החזר זכות גימלה","0","0","0","0","0","0","0","0","0","0"
,,,,,,"470116","היטל בצורת","350000","0","0","0","0","850000","0","0","0","0"
,,"48","הכנסה מיועדת מעל האומדן","4801","הכנסה מיועדת מעל האומדן","480101","הכנסה מיועדת מעל האומדן","173004","0","0","0","0","157000","0","0","0","0"
,,"49","העברה מחלק ב'","4901","העברה מחלק ב'","490101","העברה מחלק ב'","45677403","0","0","0","0","44607028","0","0","0","0"
,,"50","דמי שימוש בנכסים ממשלתי","5001","דמי שימוש בנכסים ממשלתי","500101","דמי שימוש בנכסים ממשלתי","205000","0","0","0","0","226000","0","0","0","0"
,,"51","גביית קרן","5101","גביית קרן","510101","גביית קרן","5404100","0","0","0","0","5174005","0","0","0","0"
,,,,"5102","גביית קרן - מח' הגבייה","510201","גביית קרן בגין הלוואות","0","0","0","0","0",,,,,
,,,,,,,"גביית קרן משכנתאות",,,,,,"0","0","0","0","0"
,,,,,,"510202","גביית הצמדה לקרן בגין","0","0","0","0","0",,,,,
,,,,,,,"גביית הצמדה-קרן משכנתאו",,,,,,"0","0","0","0","0"
,,,,"5103","גביית קרן- גורמים שונים","510301","גביית קרן- גורמים שונים","0","0","0","0","0","0","0","0","0","0"
,,,,,,"510302","גביית הצמדה לקרן- שונים","0","0","0","0","0","0","0","0","0","0"
,,"53","גביית קרן במט""ח","5301","גביית קרן במט""ח","530101","גביית קרן במט""ח","74400","0","0","0","0","57300","0","0","0","0"
,,"63","הכ. ממנהל מקרקעי ישראל","6301","הכ. ממנהל מקרקעי ישראל","630101","הכ. ממנהל מקרקעי ישראל","231612","0","0","0","0","100000","0","0","0","0"
,,"71","הפרשות לפנסיה-יח'משקיות","7101","הפרשות לפנסיה יח'משקיות","710101","הפרשות לפנסיה יח'משקיות","0","0","0","0","0","0","0","0","0","0"
,,"72","הפרשות לפנסיה מ. עסקיים","7201","הפרשות לפנסיה מ. עסקיים","720101","הפרשות לפנסיה מ. עסקיים","9125","0","0","0","0","9000","0","0","0","0"
,,"73","הפרשות לפנסיה - חברות","7301","הפרשות לפנסיה - חברות","730101","הפרשות לפנסיה - חברות","3000","0","0","0","0","3000","0","0","0","0"
,,"75","הכנסות הון","7501","מכירת חברות ממשלתיות","750101","מכירת חברות ממשלתיות","0","0","0","0","0","0","0","0","0","0"
,,,,"7502","מכירת בנקים שבהסדר","750201","מכירת בנקים שבהסדר","0","0","0","0","0","0","0","0","0","0"
