"0000010101 - מס הכנסה","","","-41","-41","","-41",""," "," "," "," "," "," "
"00000101 - מס הכנסה","","","-41","-41","","-41",""," "," "," "," "," "," "
"0000010201 - מס הכנסה שכירים","35670000","35670000","47820738","12150738","134.100078125","12150738","134.100078125"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","35670000","35670000","47820738","12150738","134.100078125","12150738","134.100078125"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","19000000","19000000","33367331","14367331","175.60015625","14367331","175.60015625"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","7100000","7100000","","-7100000","0","-7100000","0"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","8600000","8600000","","-8600000","0","-8600000","0"," "," "," "," "," "," "
"0000010304 - הכנסות משוק ההון","2000000","2000000","","-2000000","0","-2000000","0"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","36700000","36700000","33367331","-3332669","90.900078125","-3332669","90.900078125"," "," "," "," "," "," "
"000001 - מס הכנסה","72370000","72370000","81188029","8818029","112.200078125","8818029","112.200078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","5300000","5300000","","-5300000","0","-5300000","0"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","5300000","5300000","","-5300000","0","-5300000","0"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","2150000","2150000","","-2150000","0","-2150000","0"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","2150000","2150000","","-2150000","0","-2150000","0"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","7450000","7450000","","-7450000","0","-7450000","0"," "," "," "," "," "," "
"0000030101 - מס שבח","950000","950000","1746602","796602","183.90015625","796602","183.90015625"," "," "," "," "," "," "
"00000301 - מס שבח","950000","950000","1746602","796602","183.90015625","796602","183.90015625"," "," "," "," "," "," "
"000003 - מס שבח","950000","950000","1746602","796602","183.90015625","796602","183.90015625"," "," "," "," "," "," "
"0000040101 - מס רכישה","1850000","1850000","2715700","865700","146.800078125","865700","146.800078125"," "," "," "," "," "," "
"00000401 - מס רכישה","1850000","1850000","2715700","865700","146.800078125","865700","146.800078125"," "," "," "," "," "," "
"000004 - מס רכישה","1850000","1850000","2715700","865700","146.800078125","865700","146.800078125"," "," "," "," "," "," "
"0000050101 - מס רכוש","100000","100000","341086","241086","341.1003125","241086","341.1003125"," "," "," "," "," "," "
"00000501 - מס רכוש","100000","100000","341086","241086","341.1003125","241086","341.1003125"," "," "," "," "," "," "
"000005 - מס רכוש","100000","100000","341086","241086","341.1003125","241086","341.1003125"," "," "," "," "," "," "
"0000060101 - מס מכירה","","","35836","35836","","35836",""," "," "," "," "," "," "
"00000601 - מס מכירה","","","35836","35836","","35836",""," "," "," "," "," "," "
"000006 - מס מכירה","","","35836","35836","","35836",""," "," "," "," "," "," "
"0000070101 - מס מעסיקים","1750000","1750000","1441718","-308282","82.400078125","-308282","82.400078125"," "," "," "," "," "," "
"00000701 - מס מעסיקים","1750000","1750000","1441718","-308282","82.400078125","-308282","82.400078125"," "," "," "," "," "," "
"000007 - מס מעסיקים","1750000","1750000","1441718","-308282","82.400078125","-308282","82.400078125"," "," "," "," "," "," "
"0000110101 - מכס והיטל על היבוא","1800000","1800000","1763586","-36414","98","-36414","98"," "," "," "," "," "," "
"00001101 - מכס והיטל על היבוא","1800000","1800000","1763586","-36414","98","-36414","98"," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","1800000","1800000","1763586","-36414","98","-36414","98"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","11400000","11400000","10795091","-604909","94.700078125","-604909","94.700078125"," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","11400000","11400000","10795091","-604909","94.700078125","-604909","94.700078125"," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","400000","400000","435750","35750","108.900078125","35750","108.900078125"," "," "," "," "," "," "
"00001303 - מס קניה מקומי","400000","400000","435750","35750","108.900078125","35750","108.900078125"," "," "," "," "," "," "
"000013 - מס קניה","11800000","11800000","11230842","-569158","95.200078125","-569158","95.200078125"," "," "," "," "," "," "
"0000140201 - מע""מ ייצור מקומי","48400000","48400000","18702521","-29697479","38.60001953125","-29697479","38.60001953125"," "," "," "," "," "," "
"0000140202 - מע""מ ייבוא אזרחי","","","27745248","27745248","","27745248",""," "," "," "," "," "," "
"0000140203 - מע""מ ייבוא בטחוני","1361000","1361000","1500000","139000","110.200078125","139000","110.200078125"," "," "," "," "," "," "
