"0000010201 - מס הכנסה שכירים","33600000","33600000","41846200","8246200","124.5","8246200","124.5"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","33600000","33600000","41846200","8246200","124.5","8246200","124.5"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","24000000","24000000","42482876","18482876","177","18482876","177"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","6500000","6500000","","-6500000","0","-6500000","0"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","8500000","8500000","","-8500000","0","-8500000","0"," "," "," "," "," "," "
"0000010304 - הכנסות משוק ההון","2900000","2900000","","-2900000","0","-2900000","0"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","41900000","41900000","42482876","582876","101.400078125","582876","101.400078125"," "," "," "," "," "," "
"000001 - מס הכנסה","75500000","75500000","84329076","8829076","111.700078125","8829076","111.700078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","5600000","5600000","6420299","820299","114.600078125","820299","114.600078125"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","5600000","5600000","6420299","820299","114.600078125","820299","114.600078125"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","2100000","2100000","1665357","-434643","79.3000390625","-434643","79.3000390625"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","2100000","2100000","1665357","-434643","79.3000390625","-434643","79.3000390625"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","7700000","7700000","8085656","385656","105","385656","105"," "," "," "," "," "," "
"0000030101 - מס שבח","1400000","1400000","1761490","361490","125.800078125","361490","125.800078125"," "," "," "," "," "," "
"00000301 - מס שבח","1400000","1400000","1761490","361490","125.800078125","361490","125.800078125"," "," "," "," "," "," "
"000003 - מס שבח","1400000","1400000","1761490","361490","125.800078125","361490","125.800078125"," "," "," "," "," "," "
"0000040101 - מס רכישה","2000000","2000000","3300583","1300583","165","1300583","165"," "," "," "," "," "," "
"00000401 - מס רכישה","2000000","2000000","3300583","1300583","165","1300583","165"," "," "," "," "," "," "
"000004 - מס רכישה","2000000","2000000","3300583","1300583","165","1300583","165"," "," "," "," "," "," "
"0000050101 - מס רכוש","200000","200000","112722","-87278","56.4000390625","-87278","56.4000390625"," "," "," "," "," "," "
"00000501 - מס רכוש","200000","200000","112722","-87278","56.4000390625","-87278","56.4000390625"," "," "," "," "," "," "
"000005 - מס רכוש","200000","200000","112722","-87278","56.4000390625","-87278","56.4000390625"," "," "," "," "," "," "
"0000070101 - מס מעסיקים","1800000","1800000","1383770","-416230","76.9000390625","-416230","76.9000390625"," "," "," "," "," "," "
"00000701 - מס מעסיקים","1800000","1800000","1383770","-416230","76.9000390625","-416230","76.9000390625"," "," "," "," "," "," "
"000007 - מס מעסיקים","1800000","1800000","1383770","-416230","76.9000390625","-416230","76.9000390625"," "," "," "," "," "," "
"0000110101 - מכס והיטל על היבוא","2000000","2000000","1897163","-102837","94.900078125","-102837","94.900078125"," "," "," "," "," "," "
"00001101 - מכס והיטל על היבוא","2000000","2000000","1897163","-102837","94.900078125","-102837","94.900078125"," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","2000000","2000000","1897163","-102837","94.900078125","-102837","94.900078125"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","12100000","12100000","10913995","-1186005","90.200078125","-1186005","90.200078125"," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","12100000","12100000","10913995","-1186005","90.200078125","-1186005","90.200078125"," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","300000","300000","362519","62519","120.800078125","62519","120.800078125"," "," "," "," "," "," "
"00001303 - מס קניה מקומי","300000","300000","362519","62519","120.800078125","62519","120.800078125"," "," "," "," "," "," "
"000013 - מס קניה","12400000","12400000","11276514","-1123486","90.900078125","-1123486","90.900078125"," "," "," "," "," "," "
"0000140201 - מע""מ ייצור מקומי","48500000","48500000","19165762","-29334238","39.5","-29334238","39.5"," "," "," "," "," "," "
"0000140202 - מע""מ ייבוא אזרחי","","","29283673","29283673","","29283673",""," "," "," "," "," "," "
"0000140203 - מע""מ ייבוא בטחוני","1200000","1200000","1383585","183585","115.300078125","183585","115.300078125"," "," "," "," "," "," "
