"000020 - מס בולים","","","19680","19680","","19680",""," "," "," "," "," "," "
"0000240101 - אגרות כלי רכב","","","1548132","1548132","","1548132",""," "," "," "," "," "," "
"00002401 - אגרות כלי רכב","","","1548132","1548132","","1548132",""," "," "," "," "," "," "
"000024 - אגרות כלי רכב","","","1548132","1548132","","1548132",""," "," "," "," "," "," "
"0000250101 - אגרות, קנסות ורשיונות","","","2155055","2155055","","2155055",""," "," "," "," "," "," "
"0000250102 - קנסות","","","283909","283909","","283909",""," "," "," "," "," "," "
"00002501 - אגרות קנסות ורשיונות","","","2438964","2438964","","2438964",""," "," "," "," "," "," "
"0000250201 - אגרות בתי משפט","","","214683","214683","","214683",""," "," "," "," "," "," "
"00002502 - אגרות בתי משפט","","","214683","214683","","214683",""," "," "," "," "," "," "
"0000250301 - אגרות תדרים","","","282164","282164","","282164",""," "," "," "," "," "," "
"00002503 - אגרות תדרים","","","282164","282164","","282164",""," "," "," "," "," "," "
"0000250501 - רשיון שנתי לבנקים","","","26015","26015","","26015",""," "," "," "," "," "," "
"00002505 - רשיון שנתי לבנקים","","","26015","26015","","26015",""," "," "," "," "," "," "
"0000250601 - אגרות לרישוי סוכני בטוח","","","9451","9451","","9451",""," "," "," "," "," "," "
"00002506 - אגרות לרישוי סוכני בטוח","","","9451","9451","","9451",""," "," "," "," "," "," "
"0000250701 - אגרות","4500000","4500000","368","-4499632","0","-4499632","0"," "," "," "," "," "," "
"00002507 - אגרות","4500000","4500000","368","-4499632","0","-4499632","0"," "," "," "," "," "," "
"000025 - אגרות קנסות ורשיונות","4500000","4500000","2971645","-1528355","66","-1528355","66"," "," "," "," "," "," "
"0000340101 - ריבית במט""ח","149700","149700","3825","-145875","2.60000244140625","-145875","2.60000244140625"," "," "," "," "," "," "
"00003401 - ריבית במט""ח","149700","149700","3825","-145875","2.60000244140625","-145875","2.60000244140625"," "," "," "," "," "," "
"0000340201 - ריבית בגין כספי ערבויות","","","326381","326381","","326381",""," "," "," "," "," "," "
"00003402 - ריבית בגין כספי ערבויות","","","326381","326381","","326381",""," "," "," "," "," "," "
"000034 - ריבית במט""ח","149700","149700","330207","180507","220.60015625","180507","220.60015625"," "," "," "," "," "," "
"0000350101 - גביית ריבית","2296100","2296100","14196","-2281904","0.600000305175781","-2281904","0.600000305175781"," "," "," "," "," "," "
"00003501 - גביית ריבית","2296100","2296100","14196","-2281904","0.600000305175781","-2281904","0.600000305175781"," "," "," "," "," "," "
"0000350201 - גביית ריבית בגין","","","1156670","1156670","","1156670",""," "," "," "," "," "," "
"0000350202 - גביית הצמדה לריבית","","","369862","369862","","369862",""," "," "," "," "," "," "
"0000350203 - גביית ריבית- מח' הגבייה","","","383291","383291","","383291",""," "," "," "," "," "," "
"0000350204 - גביית הצמדה לריבית","","","174595","174595","","174595",""," "," "," "," "," "," "
"00003502 - גביית ריבית מח' הגבייה","","","2084418","2084418","","2084418",""," "," "," "," "," "," "
"0000350301 - תקבולי ריבית שונים","","","326","326","","326",""," "," "," "," "," "," "
"0000350302 - גביית ריבית על שטרי הון","","","1","1","","1",""," "," "," "," "," "," "
"00003503 - תקבולי רבית מגורמים שונ","","","326","326","","326",""," "," "," "," "," "," "
"000035 - גביית ריבית","2296100","2296100","2098940","-197160","91.400078125","-197160","91.400078125"," "," "," "," "," "," "
"0000410101 - ריבית מבנק ישראל","","","223129","223129","","223129",""," "," "," "," "," "," "
"00004101 - ריבית מבנק ישראל","","","223129","223129","","223129",""," "," "," "," "," "," "
"000041 - ריבית מבנק ישראל","","","223129","223129","","223129",""," "," "," "," "," "," "
"0000420101 - תמלוגים ממפעלים עסקיים","340198","340198","0","-340198","0","-340198","0"," "," "," "," "," "," "
"00004201 - תמלוגים ממפעלים עסקיים","340198","340198","0","-340198","0","-340198","0"," "," "," "," "," "," "
"000042 - תמלוגים ממפעלים עסקיים","340198","340198","0","-340198","0","-340198","0"," "," "," "," "," "," "
"0000430101 - תמלוגים מאוצרות טבע","188000","188000","575316","387316","306","387316","306"," "," "," "," "," "," "
"00004301 - תמלוגים מאוצרות טבע","188000","188000","575316","387316","306","387316","306"," "," "," "," "," "," "
"000043 - תמלוגים מאוצרות טבע","188000","188000","575316","387316","306","387316","306"," "," "," "," "," "," "
"0000440101 - תמלוגים מחברות ממשלתיות","64000","64000","","-64000","0","-64000","0"," "," "," "," "," "," "
"0000440104 - תמלוגים מרשות הנמלים","","","82008","82008","","82008",""," "," "," "," "," "," "
"0000440106 - תמלוגים מהחברה למדליות","","","317","317","","317",""," "," "," "," "," "," "
"00004401 - תמלוגים מחברות ממשלתיות","64000","64000","82325","18325","128.600078125","18325","128.600078125"," "," "," "," "," "," "
"000044 - תמלוגים מחברות ממשלתיות","64000","64000","82325","18325","128.600078125","18325","128.600078125"," "," "," "," "," "," "
"0000450101 - דוידנדים מחברות ממשלתיו","541680","541680","344266","-197414","63.6000390625","-197414","63.6000390625"," "," "," "," "," "," "
"00004501 - דוידנדים מחברות ממשלתיו","541680","541680","344266","-197414","63.6000390625","-197414","63.6000390625"," "," "," "," "," "," "
"0000450201 - דיוידנדים מחברות שונות","","","19","19","","19",""," "," "," "," "," "," "
"0000450202 - דיוידנדים מבזק","","","54649","54649","","54649",""," "," "," "," "," "," "
"0000450205 - דיוידנדים משרותי נפט","","","37477","37477","","37477",""," "," "," "," "," "," "
"00004502 - דיוידנדים מחברות","","","92145","92145","","92145",""," "," "," "," "," "," "
"000045 - דיוידנדים מחברות ממשלתי","541680","541680","436411","-105269","80.6000390625","-105269","80.6000390625"," "," "," "," "," "," "
"0000460101 - החזר ע""ח שנים קודמות","100000","100000","109621","9621","109.600078125","9621","109.600078125"," "," "," "," "," "," "
"00004601 - החזר ע""ח שנים קודמות","100000","100000","109621","9621","109.600078125","9621","109.600078125"," "," "," "," "," "," "
"000046 - החזר ע""ח שנים קודמות","100000","100000","109621","9621","109.600078125","9621","109.600078125"," "," "," "," "," "," "
"0000470101 - הכנסות שונות","1260000","1260000","678412","-581588","53.8000390625","-581588","53.8000390625"," "," "," "," "," "," "
"0000470102 - רכישת זכויות גמלה %18.5","","","27747","27747","","27747",""," "," "," "," "," "," "
"0000470103 - גימלה %2","","","531","531","","531",""," "," "," "," "," "," "
"0000470104 - צרוף שרות קודם","","","171","171","","171",""," "," "," "," "," "," "
"0000470105 - החרמות","","","5114","5114","","5114",""," "," "," "," "," "," "
"0000470106 - הכנסות מהפרשי שער","","","1","1","","1",""," "," "," "," "," "," "
"0000470108 - תמלוגים מסלקום ופלאפון","","","251455","251455","","251455",""," "," "," "," "," "," "
"0000470109 - הכנסות מהחטיבה להתישבות","","","12852","12852","","12852",""," "," "," "," "," "," "
"0000470113 - הכנסות מתרומות","","","214","214","","214",""," "," "," "," "," "," "
"0000470115 - החזר זכות גימלה","","","673","673","","673",""," "," "," "," "," "," "
"0000470116 - היטל בצורת","350000","350000","","-350000","0","-350000","0"," "," "," "," "," "," "
"00004701 - הכנסות שונות","1610000","1610000","977173","-632827","60.7000390625","-632827","60.7000390625"," "," "," "," "," "," "
"000047 - הכנסות שונות","1610000","1610000","977173","-632827","60.7000390625","-632827","60.7000390625"," "," "," "," "," "," "
"0000480101 - הכנסה מיועדת מעל האומדן","173004","173004","235530","62526","136.100078125","62526","136.100078125"," "," "," "," "," "," "
"00004801 - הכנסה מיועדת מעל האומדן","173004","173004","235530","62526","136.100078125","62526","136.100078125"," "," "," "," "," "," "
"000048 - הכנסה מיועדת מעל האומדן","173004","173004","235530","62526","136.100078125","62526","136.100078125"," "," "," "," "," "," "
"0000490101 - העברה מחלק ב'","45677403","45677403","","-45677403","0","-45677403","0"," "," "," "," "," "," "
"00004901 - העברה מחלק ב'","45677403","45677403","","-45677403","0","-45677403","0"," "," "," "," "," "," "
"000049 - העברה מחלק ב'","45677403","45677403","","-45677403","0","-45677403","0"," "," "," "," "," "," "
"0000500101 - דמי שימוש בנכסים ממשלתי","205000","205000","238480","33480","116.300078125","33480","116.300078125"," "," "," "," "," "," "
"00005001 - דמי שימוש בנכסים ממשלתי","205000","205000","238480","33480","116.300078125","33480","116.300078125"," "," "," "," "," "," "
"000050 - דמי שימוש בנכסים ממשלתי","205000","205000","238480","33480","116.300078125","33480","116.300078125"," "," "," "," "," "," "
"0000510101 - גביית קרן","5404100","5404100","","-5404100","0","-5404100","0"," "," "," "," "," "," "
"00005101 - גביית קרן","5404100","5404100","","-5404100","0","-5404100","0"," "," "," "," "," "," "
"0000510201 - גביית קרן בגין הלוואות","","","4029084","4029084","","4029084",""," "," "," "," "," "," "
"0000510202 - גביית הצמדה לקרן בגין","","","1668852","1668852","","1668852",""," "," "," "," "," "," "
"00005102 - גביית קרן - מח' הגבייה","","","5697936","5697936","","5697936",""," "," "," "," "," "," "
"0000510301 - גביית קרן- גורמים שונים","","","896991","896991","","896991",""," "," "," "," "," "," "
"0000510302 - גביית הצמדה לקרן- שונים","","","215057","215057","","215057",""," "," "," "," "," "," "
"00005103 - גביית קרן- גורמים שונים","","","1112048","1112048","","1112048",""," "," "," "," "," "," "
"000051 - גביית קרן","5404100","5404100","6809984","1405884","126","1405884","126"," "," "," "," "," "," "
"0000530101 - גביית קרן במט""ח","74400","74400","297840","223440","400.3003125","223440","400.3003125"," "," "," "," "," "," "
"00005301 - גביית קרן במט""ח","74400","74400","297840","223440","400.3003125","223440","400.3003125"," "," "," "," "," "," "
"000053 - גביית קרן במט""ח","74400","74400","297840","223440","400.3003125","223440","400.3003125"," "," "," "," "," "," "
"0000630101 - הכ. ממנהל מקרקעי ישראל","231612","231612","1325127","1093515","572.1003125","1093515","572.1003125"," "," "," "," "," "," "
"00006301 - הכ. ממנהל מקרקעי ישראל","231612","231612","1325127","1093515","572.1003125","1093515","572.1003125"," "," "," "," "," "," "
"000063 - הכ. ממנהל מקרקעי ישראל","231612","231612","1325127","1093515","572.1003125","1093515","572.1003125"," "," "," "," "," "," "
"0000710101 - הפרשות לפנסיה יח'משקיות","","","8911","8911","","8911",""," "," "," "," "," "," "
"00007101 - הפרשות לפנסיה יח'משקיות","","","8911","8911","","8911",""," "," "," "," "," "," "
"000071 - הפרשות לפנסיה-יח'משקיות","","","8911","8911","","8911",""," "," "," "," "," "," "
"0000720101 - הפרשות לפנסיה מ. עסקיים","9125","9125","372","-8753","4.10000244140625","-8753","4.10000244140625"," "," "," "," "," "," "
"00007201 - הפרשות לפנסיה מ. עסקיים","9125","9125","372","-8753","4.10000244140625","-8753","4.10000244140625"," "," "," "," "," "," "
"000072 - הפרשות לפנסיה מ. עסקיים","9125","9125","372","-8753","4.10000244140625","-8753","4.10000244140625"," "," "," "," "," "," "
