"0000010201 - מס הכנסה שכירים","35500000","35500000","56988303","21488303","160.5","21488303","160.5"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","35500000","35500000","56988303","21488303","160.5","21488303","160.5"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","27400000","27400000","34312136","6912136","125.200078125","6912136","125.200078125"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","8500000","8500000","","-8500000","0","-8500000","0"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","9200000","9200000","","-9200000","0","-9200000","0"," "," "," "," "," "," "
"0000010304 - הכנסות משוק ההון","3350000","3350000","","-3350000","0","-3350000","0"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","48450000","48450000","34312136","-14137864","70.8000390625","-14137864","70.8000390625"," "," "," "," "," "," "
"000001 - מס הכנסה","83950000","83950000","91300439","7350439","108.800078125","7350439","108.800078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","5600000","5600000","6277114","677114","112.100078125","677114","112.100078125"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","5600000","5600000","6277114","677114","112.100078125","677114","112.100078125"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","2500000","2500000","1656163","-843837","66.2000390625","-843837","66.2000390625"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","2500000","2500000","1656163","-843837","66.2000390625","-843837","66.2000390625"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","8100000","8100000","7933277","-166723","97.900078125","-166723","97.900078125"," "," "," "," "," "," "
"0000030101 - מס שבח","1500000","1500000","2398120","898120","159.900078125","898120","159.900078125"," "," "," "," "," "," "
"00000301 - מס שבח","1500000","1500000","2398120","898120","159.900078125","898120","159.900078125"," "," "," "," "," "," "
"000003 - מס שבח","1500000","1500000","2398120","898120","159.900078125","898120","159.900078125"," "," "," "," "," "," "
"0000040101 - מס רכישה","3500000","3500000","2878202","-621798","82.200078125","-621798","82.200078125"," "," "," "," "," "," "
"00000401 - מס רכישה","3500000","3500000","2878202","-621798","82.200078125","-621798","82.200078125"," "," "," "," "," "," "
"000004 - מס רכישה","3500000","3500000","2878202","-621798","82.200078125","-621798","82.200078125"," "," "," "," "," "," "
"0000050101 - מס רכוש","100000","100000","66335","-33665","66.3000390625","-33665","66.3000390625"," "," "," "," "," "," "
"00000501 - מס רכוש","100000","100000","66335","-33665","66.3000390625","-33665","66.3000390625"," "," "," "," "," "," "
"000005 - מס רכוש","100000","100000","66335","-33665","66.3000390625","-33665","66.3000390625"," "," "," "," "," "," "
"0000060101 - מס מכירה","","","421376","421376","","421376",""," "," "," "," "," "," "
"00000601 - מס מכירה","","","421376","421376","","421376",""," "," "," "," "," "," "
"000006 - מס מכירה","","","421376","421376","","421376",""," "," "," "," "," "," "
"0000070101 - מס מעסיקים","1950000","1950000","1486018","-463982","76.2000390625","-463982","76.2000390625"," "," "," "," "," "," "
"00000701 - מס מעסיקים","1950000","1950000","1486018","-463982","76.2000390625","-463982","76.2000390625"," "," "," "," "," "," "
"000007 - מס מעסיקים","1950000","1950000","1486018","-463982","76.2000390625","-463982","76.2000390625"," "," "," "," "," "," "
"0000110101 - מכס והיטל על היבוא","2200000","2200000","2220878","20878","100.900078125","20878","100.900078125"," "," "," "," "," "," "
"00001101 - מכס והיטל על היבוא","2200000","2200000","2220878","20878","100.900078125","20878","100.900078125"," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","2200000","2200000","2220878","20878","100.900078125","20878","100.900078125"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","11700000","11700000","13300613","1600613","113.700078125","1600613","113.700078125"," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","11700000","11700000","13300613","1600613","113.700078125","1600613","113.700078125"," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","400000","400000","286678","-113322","71.7000390625","-113322","71.7000390625"," "," "," "," "," "," "
"00001303 - מס קניה מקומי","400000","400000","286678","-113322","71.7000390625","-113322","71.7000390625"," "," "," "," "," "," "
"000013 - מס קניה","12100000","12100000","13587291","1487291","112.300078125","1487291","112.300078125"," "," "," "," "," "," "
"0000140201 - מע""מ ייצור מקומי","49598979","49598979","20893506","-28705473","42.1000390625","-28705473","42.1000390625"," "," "," "," "," "," "
"0000140202 - מע""מ ייבוא אזרחי","","","31477069","31477069","","31477069",""," "," "," "," "," "," "
"0000140203 - מע""מ ייבוא בטחוני","1257256","1257256","1426689","169433","113.5","169433","113.5"," "," "," "," "," "," "
"00001402 - תקבולי מע""מ נטו","50856235","50856235","53797264","2941029","105.800078125","2941029","105.800078125"," "," "," "," "," "," "
"000014 - תקבולי מע""מ ברוטו","50856235","50856235","53797264","2941029","105.800078125","2941029","105.800078125"," "," "," "," "," "," "
"0000150101 - מס טבק - בלו","700000","700000","733020","33020","104.700078125","33020","104.700078125"," "," "," "," "," "," "
"00001501 - מס טבק - בלו","700000","700000","733020","33020","104.700078125","33020","104.700078125"," "," "," "," "," "," "
"000015 - מס טבק - בלו","700000","700000","733020","33020","104.700078125","33020","104.700078125"," "," "," "," "," "," "
"0000180101 - מס דלק","10900000","10900000","11372235","472235","104.300078125","472235","104.300078125"," "," "," "," "," "," "
"0000180103 - מס על סולר","","","-782391","-782391","","-782391",""," "," "," "," "," "," "
"00001801 - מס דלק","10900000","10900000","10589845","-310155","97.200078125","-310155","97.200078125"," "," "," "," "," "," "
"000018 - מס דלק","10900000","10900000","10589845","-310155","97.200078125","-310155","97.200078125"," "," "," "," "," "," "
"0000200101 - מס בולים","","","66919","66919","","66919",""," "," "," "," "," "," "
"00002001 - מס בולים","","","66919","66919","","66919",""," "," "," "," "," "," "
"000020 - מס בולים","","","66919","66919","","66919",""," "," "," "," "," "," "
"0000240101 - אגרות כלי רכב","","","2107231","2107231","","2107231",""," "," "," "," "," "," "
"00002401 - אגרות כלי רכב","","","2107231","2107231","","2107231",""," "," "," "," "," "," "
"000024 - אגרות כלי רכב","","","2107231","2107231","","2107231",""," "," "," "," "," "," "
"0000250101 - אגרות, קנסות ורשיונות","","","1472568","1472568","","1472568",""," "," "," "," "," "," "
"0000250102 - קנסות","","","347578","347578","","347578",""," "," "," "," "," "," "
"00002501 - אגרות קנסות ורשיונות","","","1820146","1820146","","1820146",""," "," "," "," "," "," "
"0000250201 - אגרות בתי משפט","","","313332","313332","","313332",""," "," "," "," "," "," "
"00002502 - אגרות בתי משפט","","","313332","313332","","313332",""," "," "," "," "," "," "
"0000250301 - אגרות תדרים","","","332343","332343","","332343",""," "," "," "," "," "," "
"00002503 - אגרות תדרים","","","332343","332343","","332343",""," "," "," "," "," "," "
"0000250501 - רשיון שנתי לבנקים","","","23715","23715","","23715",""," "," "," "," "," "," "
"00002505 - רשיון שנתי לבנקים","","","23715","23715","","23715",""," "," "," "," "," "," "
"0000250601 - אגרות לרישוי סוכני בטוח","","","13915","13915","","13915",""," "," "," "," "," "," "
"00002506 - אגרות לרישוי סוכני בטוח","","","13915","13915","","13915",""," "," "," "," "," "," "
"0000250701 - אגרות","4900000","4890000","","-4900000","0","-4890000","0"," "," "," "," "," "," "
"0000250702 - קנסות חוק התכנון","","10000","","0","","-10000","0"," "," "," "," "," "," "
"00002507 - אגרות","4900000","4900000","","-4900000","0","-4900000","0"," "," "," "," "," "," "
"000025 - אגרות קנסות ורשיונות","4900000","4900000","2503451","-2396549","51.1000390625","-2396549","51.1000390625"," "," "," "," "," "," "
"0000340101 - ריבית במט""ח","150000","150000","162589","12589","108.400078125","12589","108.400078125"," "," "," "," "," "," "
"00003401 - ריבית במט""ח","150000","150000","162589","12589","108.400078125","12589","108.400078125"," "," "," "," "," "," "
"0000340201 - ריבית בגין כספי ערבויות","","","8","8","","8",""," "," "," "," "," "," "
"00003402 - ריבית בגין כספי ערבויות","","","8","8","","8",""," "," "," "," "," "," "
"0000340301 - ריבית בגין עסקאות במט""ח","","","143","143","","143",""," "," "," "," "," "," "
"00003403 - ריבית בגין עסקאות במט""ח","","","143","143","","143",""," "," "," "," "," "," "
"000034 - ריבית במט""ח","150000","150000","162740","12740","108.5","12740","108.5"," "," "," "," "," "," "
"0000350101 - גביית ריבית","2425873","2425873","2763","-2423110","0.100000076293945","-2423110","0.100000076293945"," "," "," "," "," "," "
"00003501 - גביית ריבית","2425873","2425873","2763","-2423110","0.100000076293945","-2423110","0.100000076293945"," "," "," "," "," "," "
