"0000010201 - מס הכנסה שכירים","36200000","36200000","52767981","16567981","145.800078125","16567981","145.800078125"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","36200000","36200000","52767981","16567981","145.800078125","16567981","145.800078125"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","30300000","30300000","28236155","-2063845","93.200078125","-2063845","93.200078125"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","9900000","9900000","","-9900000","0","-9900000","0"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","9300000","9300000","","-9300000","0","-9300000","0"," "," "," "," "," "," "
"0000010304 - הכנסות משוק ההון","4100000","4100000","","-4100000","0","-4100000","0"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","53600000","53600000","28236155","-25363845","52.7000390625","-25363845","52.7000390625"," "," "," "," "," "," "
"000001 - מס הכנסה","89800000","89800000","81004136","-8795864","90.200078125","-8795864","90.200078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","6200000","6200000","7272756","1072756","117.300078125","1072756","117.300078125"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","6200000","6200000","7272756","1072756","117.300078125","1072756","117.300078125"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","2400000","2400000","1494889","-905111","62.3000390625","-905111","62.3000390625"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","2400000","2400000","1494889","-905111","62.3000390625","-905111","62.3000390625"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","8600000","8600000","8767645","167645","101.900078125","167645","101.900078125"," "," "," "," "," "," "
"0000030101 - מס שבח","1400000","1400000","2493383","1093383","178.10015625","1093383","178.10015625"," "," "," "," "," "," "
"00000301 - מס שבח","1400000","1400000","2493383","1093383","178.10015625","1093383","178.10015625"," "," "," "," "," "," "
"000003 - מס שבח","1400000","1400000","2493383","1093383","178.10015625","1093383","178.10015625"," "," "," "," "," "," "
"0000040101 - מס רכישה","3300000","3300000","2887277","-412723","87.5","-412723","87.5"," "," "," "," "," "," "
"00000401 - מס רכישה","3300000","3300000","2887277","-412723","87.5","-412723","87.5"," "," "," "," "," "," "
